"","loser_name","match_dat","winner_name","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","W_First Service % ","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","L_First Service % ","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","seq","sentiment_mean.winner","sentiment_twitter.winner","sentiment_instagram.winner","sentiment_mean.loser","sentiment_twitter.loser","sentiment_instagram.loser"
"804","Shelby Rogers",2017-09-01,"Elina Svitolina","2017-560","Us Open","Hard",128,"G",2017-08-27,200,202494,"R",174,"UKR",22.9596167009,4,5530,201603,"R",NA,"USA",24.8733744011,62,943,"6-4 7-5",3,"R32",92,4,4,0.625,72,45,29,14,0,3,6,2,3,0.676470588235294,68,46,27,10,0,2,7,101,NA,NA,NA,NA,NA,NA
"805","Shuai Peng",2017-02-04,"Elina Svitolina","2017-1096","Taipei","Hard",32,"I",2017-01-29,300,202494,"R",174,"UKR",22.3846680356,13,2955,201397,"R",173,"CHN",31.06091718,71,832,"6-3 6-2",3,"F",68,6,2,0.69047619047619,42,29,22,5,8,2,4,0,2,0.639344262295082,61,39,21,7,9,4,10,31,0.888888888888889,NA,0.888888888888889,NA,NA,NA
"806","Shuai Peng",2017-06-28,"Karolina Pliskova","2017-M016","Eastbourne","Grass",64,"I",2017-06-25,255,201662,"R",184,"CZE",25.2648870637,3,6386,201397,"R",173,"CHN",31.4633812457,38,1380,"7-6(3) 6-4",3,"R16",98,8,1,0.810126582278481,79,64,42,5,11,5,8,2,4,0.641304347826087,92,59,35,14,11,9,13,38,NA,NA,NA,NA,NA,NA
"807","Shuai Peng",2017-07-08,"Simona Halep","2017-540","Wimbledon","Grass",128,"G",2017-07-02,211,201594,"R",168,"ROU",25.7659137577,2,6920,201397,"R",173,"CHN",31.4825462012,37,1405,"6-4 7-6(7)",3,"R32",98,5,1,0.712328767123288,73,52,35,11,0,1,3,2,2,0.591549295774648,71,42,25,16,0,4,7,112,0.0625,0.125,0,NA,NA,NA
"808","Shuai Zhang",2017-02-15,"Karolina Pliskova","2017-1003","Doha","Hard",32,"I",2017-02-12,294,201662,"R",184,"CZE",24.900752909,3,5270,201533,"R",NA,"CHN",28.0629705681,31,1485,"6-2 6-0",3,"QF",54,8,0,0.609756097560976,41,25,19,11,7,0,0,2,3,0.558139534883721,43,24,13,5,7,0,5,21,NA,NA,NA,NA,NA,NA
"809","Shuai Zhang",2017-03-07,"Naomi Osaka","2017-M006","Indian Wells","Hard",128,"P",2017-03-05,252,211768,"R",NA,"JPN",19.3867214237,52,1068,201533,"R",NA,"CHN",28.1204654346,34,1535,"6-4 6-2",3,"R64",74,5,4,0.456140350877193,57,26,19,16,9,2,4,3,1,0.644067796610169,59,38,20,8,9,2,7,47,0,NA,0,NA,NA,NA
"810","Shuai Zhang",2017-04-05,"Naomi Osaka","2017-0804","Charleston","Clay",64,"I",2017-04-02,284,211768,"R",NA,"JPN",19.4633812457,49,1083,201533,"R",NA,"CHN",28.1971252567,32,1510,"6-4 6-4",3,"R32",69,4,1,0.574074074074074,54,31,24,10,10,0,2,1,1,0.693548387096774,62,43,24,12,10,1,5,39,-0.214285714285714,-0.428571428571429,0,NA,NA,NA
"811","Shuai Zhang",2017-09-01,"Karolina Pliskova","2017-560","Us Open","Hard",128,"G",2017-08-27,196,201662,"R",184,"CZE",25.4373716632,1,6390,201533,"R",NA,"CHN",28.5995893224,26,1685,"3-6 7-5 6-4",3,"R32",140,9,1,0.62962962962963,108,68,39,22,0,12,17,2,5,0.60952380952381,105,64,37,21,0,6,12,97,NA,NA,NA,NA,NA,NA
"812","Shuai Zhang",2017-09-27,"Karolina Pliskova","2017-1075","Wuhan","Hard",64,"I",2017-09-24,281,201662,"R",184,"CZE",25.5140314853,4,5520,201533,"R",NA,"CHN",28.6762491444,26,1805,"6-4 3-6 6-4",3,"R32",121,9,3,0.583333333333333,72,42,34,20,14,1,2,6,6,0.608695652173913,92,56,41,19,15,3,5,36,0.150564713064713,0.118589743589744,0.182539682539683,NA,NA,NA
"813","Shuai Zhang",2018-01-10,"Aryna Sabalenka","2018-1050","Hobart","Hard",32,"I",2018-01-07,293,214544,"U",NA,"BLR",19.6796714579,69,885,201533,"R",NA,"CHN",28.9637234771,35,1535,"7-6(3) 6-4",3,"R16",95,5,2,0.666666666666667,75,50,33,15,11,5,7,8,3,0.684782608695652,92,63,38,14,11,15,18,24,NA,NA,NA,NA,NA,NA
"814","Shuai Zhang",2018-03-07,"Karolina Pliskova","2018-M006","Indian Wells","Hard",128,"PM",2018-03-04,278,201662,"R",184,"CZE",25.954825462,5,5080,201533,"R",NA,"CHN",29.1170431211,33,1500,"7-5 5-7 6-3",3,"R32",147,12,3,0.610619469026549,113,69,50,20,16,14,18,3,9,0.615384615384615,117,72,45,22,17,8,14,73,NA,NA,NA,NA,NA,NA
"815","Shuai Zhang",2018-05-04,"Petra Kvitova","2018-1082","Prague","Clay",32,"I",2018-04-29,298,201520,"L",183,"CZE",28.1451060917,10,3271,201533,"R",NA,"CHN",29.2703627652,31,1500,"7-6(6) 6-0",3,"SF",78,7,4,0.666666666666667,54,36,30,10,9,0,0,1,5,0.609375,64,39,26,7,9,4,7,29,0,0,0,NA,NA,NA
"816","Shuai Zhang",2018-10-07,"Naomi Osaka","2018-M015","Beijing","Hard",64,"PM",2018-09-30,296,211768,"R",NA,"JPN",20.9582477755,6,4390,201533,"R",NA,"CHN",29.6919917864,45,1170,"3-6 6-4 7-5",3,"QF",153,9,8,0.455357142857143,112,51,39,22,16,10,16,3,7,0.619469026548673,113,70,40,17,15,12,18,56,0.537037037037037,0.444444444444444,0.62962962962963,NA,NA,NA
"817","Silvia Soler Espinosa",2018-05-08,"Sloane Stephens","2018-M021","Madrid","Clay",64,"PM",2018-05-06,265,201585,"R",170,"USA",25.1307323751,9,3939,201562,"R",NA,"ESP",30.4640657084,217,256,"6-3 6-2",3,"R64",84,1,2,0.788235294117647,85,67,42,7,9,7,9,0,0,0.730769230769231,52,38,16,7,8,2,7,28,NA,NA,NA,NA,NA,NA
"818","Simona Halep",2017-01-03,"Katerina Siniakova","2017-1063","Shenzhen","Hard",32,"I",2017-01-01,286,211701,"R",NA,"CZE",20.6488706366,52,1123,201594,"R",168,"ROU",25.2676249144,4,5228,"6-3 4-6 7-5",3,"R16",124,4,5,0.583333333333333,108,63,36,19,16,9,16,2,2,0.568181818181818,88,50,29,13,15,3,11,17,NA,NA,NA,NA,NA,NA
